ServiceID,ServiceName,Duration,Cost,Type,CompanyID
1,Self-enabling optimal system engine,58,90.83,Haircut & Styling,29
2,Optional user-facing instruction set,86,94.77,Haircut & Styling,17
3,Expanded demand-driven ability,56,35.41,Haircut & Styling,6
4,Integrated explicit focus group,67,44.65,Haircut & Styling,21
5,Expanded maximized product,119,180.31,Haircut & Styling,2
6,Reverse-engineered bifurcated installation,76,7.06,Haircut & Styling,3
7,Ergonomic context-sensitive access,50,64.01,Haircut & Styling,7
8,Organic object-oriented focus group,62,40.64,Haircut & Styling,8
9,Optimized grid-enabled focus group,116,53.86,Haircut & Styling,12
10,Diverse clear-thinking framework,60,182.86,Haircut & Styling,8
11,Front-line grid-enabled process improvement,103,177.05,Haircut & Styling,17
12,Sharable 6thgeneration intranet,48,186.44,Haircut & Styling,6
13,Adaptive bifurcated toolset,33,50.11,Haircut & Styling,28
14,Up-sized real-time info-mediaries,63,145.62,Haircut & Styling,10
15,Organized dedicated middleware,91,28.92,Haircut & Styling,1
16,Enterprise-wide context-sensitive collaboration,93,32.74,Haircut & Styling,11
17,Re-contextualized tangible firmware,30,161.79,Haircut & Styling,17
18,Reverse-engineered modular capacity,76,173.35,Haircut & Styling,6
19,Horizontal mission-critical process improvement,79,122.77,Haircut & Styling,26
20,Streamlined hybrid application,55,36.0,Haircut & Styling,29
21,Balanced coherent intranet,94,28.97,Haircut & Styling,1
22,Monitored object-oriented customer loyalty,63,158.5,Haircut & Styling,12
23,Stand-alone discrete system engine,118,96.15,Haircut & Styling,21
24,Visionary national pricing structure,79,123.02,Haircut & Styling,21
25,Optimized demand-driven artificial intelligence,81,66.58,Haircut & Styling,27
26,Sharable discrete flexibility,41,19.04,Haircut & Styling,19
27,User-centric dedicated installation,45,23.47,Haircut & Styling,29
28,Devolved hybrid attitude,114,26.54,Haircut & Styling,24
29,Reduced system-worthy neural-net,46,123.73,Haircut & Styling,28
30,Managed 3rdgeneration infrastructure,97,54.96,Haircut & Styling,9
31,Right-sized client-driven matrices,60,194.36,Haircut & Styling,29
32,Inverse national architecture,55,190.65,Haircut & Styling,23
33,Balanced stable encryption,110,97.32,Haircut & Styling,30
34,Stand-alone 3rdgeneration framework,40,88.12,Haircut & Styling,3
35,Virtual systemic collaboration,71,119.25,Haircut & Styling,12
36,Cloned optimizing policy,57,149.96,Haircut & Styling,27
37,Reverse-engineered multimedia instruction set,106,177.97,Haircut & Styling,6
38,Vision-oriented dedicated pricing structure,53,182.49,Haircut & Styling,3
39,Balanced scalable Local Area Network,109,70.68,Haircut & Styling,15
40,Secured hybrid challenge,97,38.21,Haircut & Styling,13
41,Right-sized zero tolerance initiative,47,114.46,Haircut & Styling,5
42,Reactive explicit productivity,117,3.28,Haircut & Styling,13
43,Networked full-range migration,88,168.26,Haircut & Styling,25
44,Customizable fresh-thinking core,73,32.87,Haircut & Styling,5
45,Profit-focused explicit Local Area Network,101,89.94,Haircut & Styling,4
46,Organized disintermediate utilization,54,78.02,Haircut & Styling,2
47,Horizontal bandwidth-monitored open system,96,70.97,Haircut & Styling,26
48,Cross-group impactful structure,120,44.91,Haircut & Styling,29
49,Sharable value-added moratorium,88,157.65,Haircut & Styling,9
50,Grass-roots optimizing implementation,71,120.4,Haircut & Styling,19
51,Triple-buffered clear-thinking solution,77,183.52,Haircut & Styling,27
52,Streamlined background extranet,92,163.58,Haircut & Styling,6
53,Polarized human-resource interface,73,39.11,Haircut & Styling,26
54,Balanced asymmetric help-desk,36,48.21,Haircut & Styling,8
55,Focused didactic Local Area Network,92,197.98,Haircut & Styling,22
56,Synergistic secondary flexibility,108,56.49,Haircut & Styling,16
57,Grass-roots client-driven portal,80,43.47,Haircut & Styling,8
58,Compatible static groupware,87,186.0,Haircut & Styling,21
59,Switchable systematic initiative,92,151.54,Haircut & Styling,20
60,Customer-focused executive methodology,105,27.82,Haircut & Styling,24
61,Centralized fault-tolerant approach,52,55.79,Haircut & Styling,13
62,Synchronized static moratorium,74,114.63,Haircut & Styling,16
63,Up-sized global hierarchy,81,127.19,Haircut & Styling,8
64,Switchable fresh-thinking secured line,30,135.55,Haircut & Styling,8
65,Configurable foreground help-desk,109,187.88,Haircut & Styling,4
66,Face-to-face zero administration infrastructure,40,176.84,Haircut & Styling,17
67,Cross-platform solution-oriented frame,76,115.76,Haircut & Styling,9
68,Devolved neutral alliance,33,96.66,Haircut & Styling,28
69,Intuitive logistical workforce,33,143.86,Haircut & Styling,21
70,Expanded transitional collaboration,42,158.65,Haircut & Styling,11
71,Automated real-time interface,84,158.64,Haircut & Styling,18
72,Total 24/7 interface,90,1.76,Haircut & Styling,29
73,Organized cohesive ability,116,102.36,Haircut & Styling,21
74,Multi-tiered didactic moratorium,111,76.46,Haircut & Styling,22
75,Public-key zero tolerance migration,72,46.98,Haircut & Styling,10
76,Future-proofed mission-critical encryption,63,171.67,Haircut & Styling,11
77,Phased empowering analyzer,103,171.57,Haircut & Styling,26
78,Persevering actuating matrix,105,128.74,Haircut & Styling,11
79,Advanced responsive protocol,38,103.83,Haircut & Styling,30
80,Function-based systemic hardware,99,30.86,Haircut & Styling,30
81,Ameliorated executive solution,79,15.03,Haircut & Styling,28
82,Devolved hybrid methodology,106,26.46,Haircut & Styling,11
83,Phased 24/7 middleware,68,155.28,Haircut & Styling,30
84,Business-focused directional groupware,53,71.58,Haircut & Styling,7
85,Monitored encompassing Local Area Network,61,184.7,Haircut & Styling,1
86,Streamlined leadingedge challenge,118,152.0,Haircut & Styling,28
87,Balanced analyzing emulation,56,116.59,Haircut & Styling,29
88,Operative global contingency,99,63.25,Haircut & Styling,8
89,Reactive tertiary synergy,46,109.75,Haircut & Styling,10
90,Inverse mobile core,98,63.94,Haircut & Styling,14
91,Enhanced contextually-based open system,39,166.3,Haircut & Styling,5
92,Open-source demand-driven neural-net,36,27.55,Haircut & Styling,22
93,Optional homogeneous open architecture,57,176.95,Haircut & Styling,28
94,De-engineered human-resource encryption,63,121.37,Haircut & Styling,18
95,Ameliorated contextually-based time-frame,92,22.51,Haircut & Styling,17
96,Digitized encompassing artificial intelligence,57,168.17,Haircut & Styling,6
97,Organic well-modulated success,56,30.72,Haircut & Styling,1
98,Business-focused zero-defect productivity,95,109.48,Haircut & Styling,12
99,Triple-buffered discrete solution,60,189.1,Haircut & Styling,17
100,Fundamental global standardization,32,68.33,Haircut & Styling,9
101,Organized non-volatile service-desk,34,148.18,Haircut & Styling,4
102,Front-line discrete access,77,194.97,Haircut & Styling,6
103,Upgradable impactful core,93,133.24,Haircut & Styling,13
104,Proactive zero administration archive,63,32.3,Haircut & Styling,25
105,Fully-configurable tertiary Internet solution,98,165.19,Haircut & Styling,7
106,Triple-buffered exuding ability,92,104.63,Haircut & Styling,15
107,Fully-configurable zero administration success,58,25.89,Haircut & Styling,19
108,Inverse hybrid superstructure,49,48.7,Haircut & Styling,19
109,Streamlined mission-critical Local Area Network,51,145.28,Haircut & Styling,20
110,Distributed client-driven structure,66,94.22,Haircut & Styling,2
111,Managed zero administration strategy,99,42.83,Haircut & Styling,1
112,User-centric solution-oriented complexity,83,8.97,Haircut & Styling,13
113,Customizable system-worthy frame,93,85.34,Haircut & Styling,1
114,Diverse bi-directional ability,118,162.18,Haircut & Styling,20
115,Team-oriented composite neural-net,82,97.3,Haircut & Styling,24
116,Operative zero-defect monitoring,109,1.88,Haircut & Styling,11
117,Organic incremental methodology,57,120.18,Haircut & Styling,15
118,Phased maximized info-mediaries,45,122.27,Haircut & Styling,5
119,Extended 6thgeneration firmware,74,2.42,Haircut & Styling,13
120,Grass-roots interactive matrices,79,199.4,Haircut & Styling,4
121,Configurable optimizing complexity,101,18.68,Haircut & Styling,1
122,Programmable background structure,94,140.98,Haircut & Styling,28
123,User-friendly client-driven alliance,117,146.83,Haircut & Styling,23
124,Re-engineered mobile encryption,56,33.47,Haircut & Styling,6
125,Multi-tiered neutral collaboration,115,183.93,Haircut & Styling,5
126,Polarized multi-tasking support,98,171.57,Haircut & Styling,18
127,Total 6thgeneration neural-net,110,73.67,Haircut & Styling,13
128,Customer-focused grid-enabled definition,41,165.62,Haircut & Styling,24
129,Synchronized attitude-oriented matrices,53,94.08,Haircut & Styling,20
130,Expanded asymmetric utilization,94,128.13,Haircut & Styling,19
131,Networked coherent alliance,30,191.88,Haircut & Styling,12
132,Multi-layered exuding encryption,72,69.96,Haircut & Styling,13
133,Quality-focused local open system,62,37.6,Haircut & Styling,19
134,Ergonomic optimizing workforce,76,135.24,Haircut & Styling,11
135,Ameliorated homogeneous leverage,44,186.06,Haircut & Styling,20
136,Intuitive systemic methodology,104,171.58,Haircut & Styling,7
137,Reduced disintermediate customer loyalty,44,158.92,Haircut & Styling,17
138,Expanded empowering extranet,64,177.36,Haircut & Styling,4
139,Persevering contextually-based encoding,63,81.8,Haircut & Styling,2
140,Seamless zero-defect open architecture,84,185.43,Haircut & Styling,4
141,Reverse-engineered secondary algorithm,75,107.13,Haircut & Styling,14
142,Fundamental dedicated array,81,89.52,Haircut & Styling,15
143,Intuitive composite migration,80,42.82,Haircut & Styling,21
144,Visionary background software,41,30.43,Haircut & Styling,1
145,Customer-focused tertiary definition,113,51.39,Haircut & Styling,14
146,Reactive hybrid conglomeration,103,41.58,Haircut & Styling,8
147,Progressive incremental knowledgebase,44,29.37,Haircut & Styling,6
148,Re-contextualized coherent core,67,101.77,Haircut & Styling,18
149,Upgradable asynchronous encoding,85,79.26,Haircut & Styling,13
150,Progressive optimizing workforce,68,25.42,Haircut & Styling,12
151,Balanced demand-driven conglomeration,39,21.34,Haircut & Styling,3
152,Organic dynamic infrastructure,64,103.98,Haircut & Styling,16
153,Re-engineered incremental frame,74,198.45,Haircut & Styling,19
154,Quality-focused bifurcated open architecture,112,114.98,Haircut & Styling,3
155,Balanced optimizing knowledge user,81,117.69,Haircut & Styling,20
156,Customizable bottom-line open system,76,31.66,Haircut & Styling,24
157,Configurable demand-driven artificial intelligence,71,142.66,Haircut & Styling,23
158,Implemented neutral website,64,150.09,Haircut & Styling,3
159,Synergized full-range productivity,52,128.6,Haircut & Styling,25
160,Stand-alone optimal strategy,35,4.76,Haircut & Styling,4
161,Vision-oriented encompassing moderator,101,173.69,Haircut & Styling,8
162,Visionary secondary complexity,91,9.47,Haircut & Styling,2
163,Multi-lateral composite algorithm,68,136.82,Haircut & Styling,13
164,Decentralized interactive array,37,164.04,Haircut & Styling,17
165,Intuitive tangible encryption,101,74.43,Haircut & Styling,10
166,Distributed needs-based artificial intelligence,87,1.37,Haircut & Styling,11
167,Compatible holistic knowledge user,73,131.98,Haircut & Styling,9
168,Automated tertiary pricing structure,35,171.19,Haircut & Styling,21
169,Quality-focused explicit info-mediaries,50,166.78,Haircut & Styling,9
170,Reactive non-volatile interface,33,39.43,Haircut & Styling,26
171,Distributed non-volatile challenge,71,124.23,Haircut & Styling,16
172,Networked well-modulated process improvement,41,169.56,Haircut & Styling,25
173,Customer-focused client-server algorithm,119,116.5,Haircut & Styling,22
174,Implemented content-based definition,51,23.12,Haircut & Styling,15
175,Triple-buffered empowering protocol,72,169.63,Haircut & Styling,29
176,Open-source analyzing utilization,88,91.03,Haircut & Styling,16
177,Exclusive composite superstructure,60,169.94,Haircut & Styling,26
178,Centralized executive help-desk,31,145.38,Haircut & Styling,24
179,Programmable modular customer loyalty,44,4.67,Haircut & Styling,7
180,Right-sized multi-tasking secured line,45,87.02,Haircut & Styling,8
181,Stand-alone needs-based algorithm,54,47.17,Haircut & Styling,5
182,Decentralized hybrid data-warehouse,40,53.18,Haircut & Styling,9
183,Future-proofed transitional attitude,41,114.07,Haircut & Styling,18
184,Robust radical knowledgebase,74,146.07,Haircut & Styling,8
185,Business-focused contextually-based paradigm,102,16.41,Haircut & Styling,15
186,Managed national methodology,46,139.95,Haircut & Styling,2
187,Expanded systemic monitoring,117,67.2,Haircut & Styling,28
188,Progressive zero tolerance productivity,81,71.66,Haircut & Styling,25
189,Multi-channeled methodical hardware,79,84.31,Haircut & Styling,16
190,Reverse-engineered user-facing capacity,52,45.7,Haircut & Styling,19
191,Customizable impactful toolset,102,186.2,Haircut & Styling,27
192,Progressive 24hour utilization,83,149.41,Haircut & Styling,15
193,Centralized encompassing matrices,86,102.56,Haircut & Styling,9
194,User-friendly 24hour migration,63,127.38,Haircut & Styling,14
195,Upgradable incremental hardware,115,161.38,Haircut & Styling,9
196,Horizontal didactic emulation,68,53.77,Haircut & Styling,20
197,Progressive 5thgeneration architecture,108,196.98,Haircut & Styling,29
198,Object-based tangible encryption,110,113.42,Haircut & Styling,17
199,Enhanced attitude-oriented success,30,5.05,Haircut & Styling,20
200,Integrated disintermediate core,76,128.31,Haircut & Styling,25
201,Multi-lateral user-facing adapter,40,126.51,Haircut & Styling,26
202,Up-sized multimedia complexity,45,78.15,Haircut & Styling,14
203,Focused bottom-line strategy,107,15.45,Haircut & Styling,13
204,Virtual well-modulated Local Area Network,43,192.98,Haircut & Styling,7
205,User-friendly empowering task-force,75,149.17,Haircut & Styling,4
206,Inverse fault-tolerant website,61,0.71,Haircut & Styling,4
207,Monitored logistical protocol,47,6.19,Haircut & Styling,18
208,Profound static collaboration,97,47.21,Haircut & Styling,30
209,Inverse static data-warehouse,115,126.64,Haircut & Styling,12
210,Assimilated 24/7 forecast,54,133.56,Haircut & Styling,12
211,De-engineered optimizing system engine,53,40.6,Haircut & Styling,17
212,Synergistic logistical instruction set,84,192.44,Haircut & Styling,20
213,Horizontal 4thgeneration capacity,104,141.4,Haircut & Styling,18
214,Automated explicit synergy,83,19.38,Haircut & Styling,24
215,Intuitive user-facing concept,87,177.52,Haircut & Styling,7
216,Adaptive client-driven encoding,51,187.74,Haircut & Styling,4
217,Profound value-added software,67,148.29,Haircut & Styling,1
218,Horizontal impactful projection,69,42.8,Haircut & Styling,13
219,Pre-emptive system-worthy standardization,84,23.05,Haircut & Styling,3
220,Business-focused impactful flexibility,88,150.7,Haircut & Styling,13
221,Cloned fault-tolerant infrastructure,52,94.8,Haircut & Styling,26
222,Switchable radical concept,73,68.89,Haircut & Styling,15
223,Focused human-resource parallelism,112,36.6,Haircut & Styling,14
224,Phased upward-trending parallelism,66,133.93,Haircut & Styling,3
225,Innovative bandwidth-monitored neural-net,96,49.52,Haircut & Styling,20
226,Open-architected secondary projection,74,107.82,Haircut & Styling,13
227,Face-to-face non-volatile database,59,160.98,Haircut & Styling,20
228,Inverse encompassing pricing structure,34,178.73,Haircut & Styling,4
229,Progressive leadingedge capability,63,64.66,Haircut & Styling,26
230,Managed asynchronous matrices,79,8.85,Haircut & Styling,3
231,Enterprise-wide interactive hardware,53,13.97,Haircut & Styling,8
232,Public-key reciprocal support,33,124.61,Haircut & Styling,12
233,Secured stable portal,81,64.53,Haircut & Styling,4
234,Extended well-modulated application,99,34.61,Haircut & Styling,18
235,Profit-focused 24/7 access,38,29.77,Haircut & Styling,5
236,Vision-oriented 4thgeneration collaboration,96,151.94,Haircut & Styling,17
237,Advanced disintermediate monitoring,91,165.37,Haircut & Styling,13
238,Team-oriented static protocol,78,62.12,Haircut & Styling,30
239,Ergonomic encompassing database,91,29.84,Haircut & Styling,19
240,Configurable zero administration firmware,119,33.83,Haircut & Styling,14
241,Re-contextualized composite firmware,84,68.44,Haircut & Styling,5
242,Synchronized radical customer loyalty,73,40.47,Haircut & Styling,27
243,Optional empowering paradigm,107,144.83,Haircut & Styling,16
244,User-centric demand-driven task-force,77,66.72,Haircut & Styling,26
245,Configurable leadingedge moderator,89,187.4,Haircut & Styling,9
246,Enterprise-wide 24/7 system engine,93,100.83,Haircut & Styling,17
247,Triple-buffered leadingedge standardization,42,39.06,Haircut & Styling,14
248,Object-based secondary function,33,103.1,Haircut & Styling,21
249,Future-proofed background capability,59,77.99,Haircut & Styling,28
250,Streamlined user-facing service-desk,34,47.67,Haircut & Styling,26
251,Enterprise-wide foreground methodology,67,24.24,Haircut & Styling,7
252,Enterprise-wide scalable intranet,114,142.87,Haircut & Styling,19
253,Enterprise-wide 5thgeneration hub,48,91.79,Haircut & Styling,24
254,Cloned asymmetric hub,112,42.86,Haircut & Styling,17
255,Enhanced global projection,85,102.23,Haircut & Styling,28
256,Horizontal explicit process improvement,33,99.57,Haircut & Styling,16
257,Persevering web-enabled customer loyalty,32,133.87,Haircut & Styling,16
258,Extended coherent framework,63,5.92,Haircut & Styling,10
259,Reactive national circuit,90,93.75,Haircut & Styling,27
260,Open-architected incremental matrices,100,174.33,Haircut & Styling,15
261,Future-proofed interactive Internet solution,88,150.47,Haircut & Styling,8
262,Assimilated system-worthy Graphic Interface,77,13.76,Haircut & Styling,30
263,Multi-lateral incremental solution,54,149.31,Haircut & Styling,2
264,Quality-focused intangible definition,75,155.02,Haircut & Styling,28
265,Object-based 6thgeneration Internet solution,85,173.86,Haircut & Styling,15
266,Horizontal didactic throughput,44,133.25,Haircut & Styling,5
267,Implemented intangible projection,89,101.38,Haircut & Styling,8
268,Multi-lateral directional encoding,116,69.15,Haircut & Styling,4
269,Digitized mission-critical synergy,75,118.15,Haircut & Styling,5
270,Self-enabling zero tolerance adapter,119,26.73,Haircut & Styling,4
271,Synergized user-facing throughput,73,68.47,Haircut & Styling,22
272,Assimilated user-facing model,49,115.63,Haircut & Styling,20
273,Decentralized encompassing migration,34,113.43,Haircut & Styling,13
274,Versatile interactive challenge,41,119.86,Haircut & Styling,29
275,Right-sized 3rdgeneration portal,84,63.84,Haircut & Styling,12
276,Seamless global protocol,113,115.65,Haircut & Styling,7
277,Team-oriented high-level frame,37,188.55,Haircut & Styling,2
278,Multi-tiered incremental open system,82,75.81,Haircut & Styling,26
279,Automated neutral customer loyalty,94,86.7,Haircut & Styling,11
280,User-centric regional budgetary management,111,128.13,Haircut & Styling,27
281,Open-source object-oriented Graphical User Interface,68,24.83,Haircut & Styling,14
282,Seamless coherent secured line,73,108.8,Haircut & Styling,9
283,Robust discrete leverage,117,152.77,Haircut & Styling,18
284,Cross-platform context-sensitive forecast,92,35.81,Haircut & Styling,21
285,Mandatory hybrid throughput,32,101.1,Haircut & Styling,28
286,Secured leadingedge synergy,97,131.06,Haircut & Styling,5
287,De-engineered mobile definition,67,166.55,Haircut & Styling,10
288,Synergistic value-added contingency,34,138.83,Haircut & Styling,14
289,Balanced neutral infrastructure,36,160.04,Haircut & Styling,2
290,Business-focused 5thgeneration hub,70,16.71,Haircut & Styling,19
291,Down-sized leadingedge emulation,35,44.74,Haircut & Styling,13
292,Expanded tertiary array,62,39.2,Haircut & Styling,29
293,Public-key demand-driven analyzer,108,152.43,Haircut & Styling,11
294,Centralized even-keeled installation,97,150.57,Haircut & Styling,13
295,Reduced logistical moderator,47,144.72,Haircut & Styling,3
296,Organic multi-tasking algorithm,114,118.8,Haircut & Styling,10
297,Robust bottom-line solution,58,66.48,Haircut & Styling,6
298,Open-source heuristic structure,98,64.61,Haircut & Styling,11
299,Synergistic regional challenge,34,184.17,Haircut & Styling,27
300,Vision-oriented cohesive help-desk,78,69.72,Haircut & Styling,16
301,Triple-buffered user-facing pricing structure,108,181.59,Massage Therapy,38
302,Face-to-face high-level parallelism,59,9.08,Massage Therapy,36
303,Devolved stable attitude,44,35.7,Massage Therapy,49
304,Re-engineered scalable adapter,65,107.16,Massage Therapy,57
305,Horizontal disintermediate hierarchy,33,96.5,Massage Therapy,39
306,Intuitive context-sensitive strategy,45,60.31,Massage Therapy,56
307,Exclusive 24/7 system engine,103,161.28,Massage Therapy,51
308,Up-sized content-based functionalities,104,65.07,Massage Therapy,42
309,Reactive foreground middleware,109,94.2,Massage Therapy,49
